"common_name","scientific_name","coords.x1","coords.x2"
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
